compliance_id,server_id,splunk_status,qualys_status,crowdstrike_status,firewall_status,patch_status,password_policy,compliance_score,compliance_status
1,1,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
2,2,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
3,3,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
4,4,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
5,5,Running,Running,Running,Disabled,Updated,Compliant,85,Warning
6,6,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
7,7,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
8,8,Stopped,Running,Stopped,Enabled,Updated,Compliant,60,Non-Compliant
9,9,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
10,10,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
11,11,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
12,12,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
13,13,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
14,14,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
15,15,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
16,16,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
17,17,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
18,18,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
19,19,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
20,20,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
21,21,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
22,22,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
23,23,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
24,24,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
25,25,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
26,26,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
27,27,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
28,28,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
29,29,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
30,30,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
