incident_id,server_id,incident_category,priority,status,assigned_team,resolution_hours,incident_date
1,1,Qualys Agent Missing,P4,Open,Linux Team,15,2025-12-28
2,2,CPU Utilization High,P3,Closed,Database Team,16,2025-10-05
3,3,Server Down,P4,Closed,Windows Team,8,2026-04-11
4,4,CrowdStrike Offline,P1,Resolved,Linux Team,1,2025-08-18
5,5,Splunk Agent Down,P4,Closed,Security Team,64,2026-05-17
6,6,Patch Failure,P4,Open,Windows Team,54,2025-09-08
7,7,Server Down,P4,In Progress,Linux Team,47,2026-02-27
8,8,Firewall Disabled,P3,Closed,Windows Team,17,2026-05-03
9,9,Patch Failure,P4,Closed,Messaging Team,15,2026-03-28
10,10,CrowdStrike Offline,P4,In Progress,Database Team,41,2025-11-04
11,11,Qualys Agent Missing,P4,Resolved,Infrastructure Team,68,2025-07-30
12,12,Disk Space Full,P4,Open,Messaging Team,24,2025-12-09
13,13,Patch Failure,P3,Resolved,Infrastructure Team,6,2026-04-09
14,14,Disk Space Full,P2,Open,Messaging Team,4,2025-12-13
15,15,Patch Failure,P4,Resolved,Security Team,69,2026-04-01
16,16,Qualys Agent Missing,P4,Closed,Database Team,8,2026-03-11
17,17,CrowdStrike Offline,P1,Closed,Infrastructure Team,2,2026-01-27
18,18,Disk Space Full,P4,Closed,Infrastructure Team,22,2025-09-19
19,19,CPU Utilization High,P2,Resolved,Infrastructure Team,8,2026-07-20
20,20,Application Not Responding,P1,Resolved,Security Team,3,2025-10-27
21,21,Disk Space Full,P3,Closed,Windows Team,20,2026-06-02
22,22,Splunk Agent Down,P2,Closed,Linux Team,5,2025-08-03
23,23,Disk Space Full,P3,Resolved,Infrastructure Team,17,2025-10-22
24,24,Firewall Disabled,P4,Closed,Messaging Team,18,2026-06-02
25,25,CrowdStrike Offline,P3,Closed,Infrastructure Team,13,2026-03-09
26,26,Application Not Responding,P3,Resolved,Linux Team,5,2025-08-08
27,27,Disk Space Full,P4,Open,Database Team,69,2025-10-30
28,28,Server Down,P3,Resolved,Windows Team,21,2025-10-29
29,29,Server Down,P3,Resolved,Linux Team,5,2025-12-24
30,30,Patch Failure,P4,Resolved,Linux Team,32,2026-02-11
31,31,Disk Space Full,P3,Resolved,Infrastructure Team,19,2026-04-03
32,32,Server Down,P4,Closed,Messaging Team,58,2025-09-10
33,33,Splunk Agent Down,P2,Resolved,Messaging Team,2,2025-08-07
34,34,Memory Utilization High,P1,Closed,Database Team,2,2026-05-31
35,35,Memory Utilization High,P2,Closed,Infrastructure Team,4,2025-12-07
36,36,CrowdStrike Offline,P3,Resolved,Windows Team,12,2026-01-13
37,37,Qualys Agent Missing,P3,Resolved,Database Team,21,2026-05-02
38,38,Memory Utilization High,P3,Resolved,Infrastructure Team,7,2025-10-16
39,39,Qualys Agent Missing,P2,Resolved,Database Team,4,2025-12-14
40,40,Qualys Agent Missing,P3,Resolved,Database Team,9,2026-04-04
41,41,CPU Utilization High,P3,Resolved,Linux Team,4,2026-06-06
42,42,Splunk Agent Down,P4,Open,Messaging Team,63,2026-04-02
43,43,Server Down,P4,Resolved,Database Team,67,2025-11-22
44,44,Patch Failure,P4,In Progress,Messaging Team,69,2025-07-31
45,45,Server Down,P3,Closed,Infrastructure Team,17,2025-09-02
46,46,Splunk Agent Down,P4,Closed,Linux Team,35,2026-04-23
47,47,CrowdStrike Offline,P3,Closed,Linux Team,15,2026-06-01
48,48,CrowdStrike Offline,P3,Closed,Linux Team,4,2026-05-09
49,49,CPU Utilization High,P3,Resolved,Database Team,18,2026-05-29
50,50,Memory Utilization High,P4,Closed,Infrastructure Team,37,2025-08-20
51,51,Qualys Agent Missing,P1,Closed,Infrastructure Team,1,2025-10-06
52,52,Application Not Responding,P4,In Progress,Database Team,37,2025-08-15
53,53,CPU Utilization High,P3,Closed,Infrastructure Team,14,2026-07-18
54,54,Application Not Responding,P3,Resolved,Messaging Team,9,2026-01-06
55,55,Application Not Responding,P2,In Progress,Database Team,4,2025-10-30
56,56,Server Down,P3,Closed,Infrastructure Team,5,2025-10-27
57,57,Application Not Responding,P3,Open,Infrastructure Team,13,2026-02-20
58,58,CPU Utilization High,P4,Closed,Infrastructure Team,43,2026-05-03
59,59,CrowdStrike Offline,P4,Resolved,Security Team,65,2026-01-15
60,60,Firewall Disabled,P2,Closed,Database Team,7,2025-11-06
61,61,Application Not Responding,P2,Resolved,Security Team,7,2026-04-23
62,62,Disk Space Full,P4,Resolved,Linux Team,65,2026-04-03
63,63,Firewall Disabled,P3,Closed,Linux Team,12,2026-07-23
64,64,Server Down,P2,In Progress,Windows Team,2,2025-10-30
65,65,Splunk Agent Down,P2,Resolved,Windows Team,4,2026-01-01
66,66,Firewall Disabled,P1,Open,Messaging Team,1,2025-09-20
67,67,Firewall Disabled,P4,Resolved,Infrastructure Team,18,2025-12-31
68,68,Server Down,P4,Closed,Linux Team,32,2025-10-24
69,69,CPU Utilization High,P3,Closed,Infrastructure Team,20,2026-05-05
70,70,Firewall Disabled,P4,Closed,Database Team,67,2025-12-05
71,71,Server Down,P4,Closed,Infrastructure Team,44,2025-10-03
72,72,Memory Utilization High,P3,Resolved,Messaging Team,6,2025-09-22
73,73,CPU Utilization High,P4,Closed,Infrastructure Team,17,2026-05-07
74,74,Firewall Disabled,P3,Open,Windows Team,12,2026-02-06
75,75,Application Not Responding,P2,Closed,Infrastructure Team,7,2025-08-26
76,76,Application Not Responding,P4,Closed,Database Team,34,2025-11-04
77,77,CPU Utilization High,P2,In Progress,Infrastructure Team,3,2026-06-04
78,78,Qualys Agent Missing,P2,Closed,Infrastructure Team,6,2025-12-11
79,79,Qualys Agent Missing,P3,Resolved,Infrastructure Team,4,2026-06-23
80,80,CrowdStrike Offline,P3,Resolved,Linux Team,19,2025-08-26
81,81,Qualys Agent Missing,P4,In Progress,Infrastructure Team,65,2026-07-01
82,82,CrowdStrike Offline,P2,Open,Messaging Team,2,2025-08-11
83,83,Firewall Disabled,P4,Resolved,Messaging Team,41,2025-12-19
84,84,Qualys Agent Missing,P1,Resolved,Infrastructure Team,2,2025-12-09
85,85,Server Down,P4,Open,Security Team,24,2026-03-31
86,86,Server Down,P3,Closed,Security Team,14,2025-08-20
87,87,CPU Utilization High,P2,Resolved,Infrastructure Team,5,2025-07-29
88,88,CPU Utilization High,P2,Resolved,Messaging Team,2,2025-11-22
89,89,Qualys Agent Missing,P3,Closed,Security Team,10,2025-11-11
90,90,Server Down,P2,In Progress,Windows Team,2,2026-01-04
91,91,Splunk Agent Down,P4,Resolved,Database Team,63,2025-09-09
92,92,CrowdStrike Offline,P3,Resolved,Infrastructure Team,16,2025-12-20
93,93,CrowdStrike Offline,P1,Resolved,Security Team,1,2025-08-04
94,94,Disk Space Full,P4,In Progress,Security Team,57,2026-03-04
95,95,Qualys Agent Missing,P4,Closed,Database Team,66,2025-09-09
96,96,CrowdStrike Offline,P3,Resolved,Infrastructure Team,14,2026-05-23
97,97,Server Down,P3,Resolved,Infrastructure Team,4,2026-03-06
98,98,CrowdStrike Offline,P1,Closed,Infrastructure Team,4,2026-01-06
99,99,Application Not Responding,P2,Resolved,Database Team,5,2026-05-15
