server_id,hostname,operating_system,environment,server_type,location,owner_team,created_date,compliance_id,splunk_status,qualys_status,crowdstrike_status,firewall_status,patch_status,password_policy,compliance_score,compliance_status,performance_id,cpu_usage,memory_usage,disk_usage,uptime_days,vulnerability_id,critical_count,high_count,medium_count,low_count,risk_level,last_scan_date,incident_id,incident_category,priority,status,assigned_team,resolution_hours,incident_date,total_vulnerabilities,vulnerability_risk_score,compliance_failure_count,performance_risk_count,incident_severity_score,resolution_delay_risk,server_risk_score
1,WEB001,Windows Server 2019,Production,Web Server,Chennai,Linux Team,2026-07-25,1,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,1,53,62,57,521,1,1,3,9,19,Medium,2026-07-25,1,Qualys Agent Missing,P4,Open,Linux Team,15,2025-12-28,32,50,0,0,1,0,55
2,DB001,Ubuntu 22.04,Production,Database Server,Chennai,Database Team,2026-07-25,2,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,2,63,72,67,549,2,0,9,16,13,High,2026-07-25,2,CPU Utilization High,P3,Closed,Database Team,16,2025-10-05,38,72,0,0,2,0,82
3,FILE001,Ubuntu 22.04,Production,File Server,Hyderabad,Windows Team,2026-07-25,3,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,3,13,30,78,730,3,1,2,6,12,Low,2026-07-25,3,Server Down,P4,Closed,Windows Team,8,2026-04-11,21,34,0,1,1,0,44
4,WEB002,RHEL 9,Development,Web Server,Bangalore,Linux Team,2026-07-25,4,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,4,22,67,49,690,4,3,5,10,9,Critical,2026-07-25,4,CrowdStrike Offline,P1,Resolved,Linux Team,1,2025-08-18,27,56,0,1,4,0,81
5,AUTH001,RHEL 8,Development,Authentication Server,Chennai,Security Team,2026-07-25,5,Running,Running,Running,Disabled,Updated,Compliant,85,Warning,5,40,63,40,534,5,2,3,6,7,Low,2026-07-25,5,Splunk Agent Down,P4,Closed,Security Team,64,2026-05-17,18,36,1,0,1,1,56
6,FILE002,RHEL 8,Production,File Server,Mumbai,Windows Team,2026-07-25,6,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning,6,33,28,70,156,6,1,1,4,6,Low,2026-07-25,6,Patch Failure,P4,Open,Windows Team,54,2025-09-08,12,21,1,0,1,1,41
7,WEB003,RHEL 8,Development,Web Server,Chennai,Linux Team,2026-07-25,7,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,7,22,30,32,95,7,0,2,10,16,Medium,2026-07-25,7,Server Down,P4,In Progress,Linux Team,47,2026-02-27,28,42,0,0,1,1,52
8,FILE003,Ubuntu 22.04,UAT,File Server,Bangalore,Windows Team,2026-07-25,8,Stopped,Running,Stopped,Enabled,Updated,Compliant,60,Non-Compliant,8,32,39,83,603,8,0,3,5,15,Low,2026-07-25,8,Firewall Disabled,P3,Closed,Windows Team,17,2026-05-03,23,34,2,1,2,0,69
9,MAIL001,RHEL 8,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25,9,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,9,27,45,35,374,9,2,1,4,10,Low,2026-07-25,9,Patch Failure,P4,Closed,Messaging Team,15,2026-03-28,17,29,0,0,1,0,34
10,DB002,RHEL 8,Production,Database Server,Bangalore,Database Team,2026-07-25,10,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,10,64,83,82,562,10,1,6,14,10,High,2026-07-25,10,CrowdStrike Offline,P4,In Progress,Database Team,41,2025-11-04,31,60,0,1,1,1,75
11,APP001,Ubuntu 22.04,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25,11,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,11,70,63,52,637,11,2,1,8,7,Medium,2026-07-25,11,Qualys Agent Missing,P4,Resolved,Infrastructure Team,68,2025-07-30,18,34,1,1,1,1,59
12,MAIL002,Windows Server 2022,Development,Mail Server,Hyderabad,Messaging Team,2026-07-25,12,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,12,54,56,54,74,12,2,3,2,5,Low,2026-07-25,12,Disk Space Full,P4,Open,Messaging Team,24,2025-12-09,12,26,0,0,1,0,31
13,APP002,RHEL 9,Development,Application Server,Chennai,Infrastructure Team,2026-07-25,13,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,13,61,68,48,9,13,2,1,4,17,Low,2026-07-25,13,Patch Failure,P3,Resolved,Infrastructure Team,6,2026-04-09,24,36,0,0,2,0,46
14,MAIL003,RHEL 8,Production,Mail Server,Bangalore,Messaging Team,2026-07-25,14,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,14,54,49,32,331,14,2,3,3,11,Low,2026-07-25,14,Disk Space Full,P2,Open,Messaging Team,4,2025-12-13,19,34,0,0,3,0,49
15,AUTH002,Ubuntu 22.04,Testing,Authentication Server,Pune,Security Team,2026-07-25,15,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,15,34,64,37,7,15,1,2,5,12,Low,2026-07-25,15,Patch Failure,P4,Resolved,Security Team,69,2026-04-01,20,32,0,0,1,1,42
16,DB003,Ubuntu 22.04,Production,Database Server,Bangalore,Database Team,2026-07-25,16,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,16,73,77,83,485,16,4,4,6,15,Critical,2026-07-25,16,Qualys Agent Missing,P4,Closed,Database Team,8,2026-03-11,29,55,0,0,1,0,60
17,API001,Ubuntu 22.04,Testing,API Server,Pune,Infrastructure Team,2026-07-25,17,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,17,74,58,51,617,17,0,1,6,11,Low,2026-07-25,17,CrowdStrike Offline,P1,Closed,Infrastructure Team,2,2026-01-27,18,26,0,1,4,0,51
18,APP003,Windows Server 2022,Production,Application Server,Pune,Infrastructure Team,2026-07-25,18,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning,18,40,59,43,39,18,0,1,3,14,Low,2026-07-25,18,Disk Space Full,P4,Closed,Infrastructure Team,22,2025-09-19,18,23,1,0,1,0,38
19,APP004,Ubuntu 22.04,Production,Application Server,Hyderabad,Infrastructure Team,2026-07-25,19,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,19,64,67,64,47,19,0,1,10,11,Medium,2026-07-25,19,CPU Utilization High,P2,Resolved,Infrastructure Team,8,2026-07-20,22,34,0,0,3,0,49
