performance_id,server_id,cpu_usage,memory_usage,disk_usage,uptime_days
1,1,53,62,57,521
2,2,63,72,67,549
3,3,13,30,78,730
4,4,22,67,49,690
5,5,40,63,40,534
6,6,33,28,70,156
7,7,22,30,32,95
8,8,32,39,83,603
9,9,27,45,35,374
10,10,64,83,82,562
11,11,70,63,52,637
12,12,54,56,54,74
13,13,61,68,48,9
14,14,54,49,32,331
15,15,34,64,37,7
16,16,73,77,83,485
17,17,74,58,51,617
18,18,40,59,43,39
19,19,64,67,64,47
20,20,34,56,31,164
21,21,14,35,81,262
22,22,50,56,45,512
23,23,53,57,52,296
24,24,26,53,61,167
25,25,67,55,33,705
26,26,47,70,47,693
27,27,83,94,93,373
28,28,11,21,74,274
29,29,49,66,54,698
30,30,42,60,38,455
31,31,61,74,49,171
32,32,29,65,46,423
33,33,26,58,41,690
34,34,77,74,75,362
35,35,72,57,49,687
36,36,25,33,78,565
37,37,62,93,76,189
38,38,73,74,52,362
39,39,88,75,72,58
40,40,80,82,92,691
41,41,52,63,30,432
42,42,35,42,46,393
43,43,66,79,75,729
44,44,45,59,33,277
45,45,51,78,49,311
46,46,24,54,44,534
47,47,49,68,27,365
48,48,55,60,25,405
49,49,90,89,93,642
50,50,65,59,39,202
51,51,67,65,46,613
52,52,79,81,93,468
53,53,61,63,51,162
54,54,53,66,57,688
55,55,63,86,91,495
56,56,47,82,46,375
57,57,56,44,38,276
58,58,53,58,56,543
59,59,49,43,30,677
60,60,61,75,92,567
61,61,54,41,38,597
62,62,32,32,28,433
63,63,27,42,50,709
64,64,22,43,88,122
65,65,14,40,73,711
66,66,38,69,38,475
67,67,80,50,75,367
68,68,36,48,56,297
69,69,80,58,45,574
70,70,81,91,79,609
71,71,64,56,68,461
72,72,48,48,53,115
73,73,56,57,62,27
74,74,18,31,84,72
75,75,71,56,43,286
76,76,85,89,74,88
77,77,55,84,54,265
78,78,70,64,72,620
79,79,49,60,53,442
80,80,25,38,56,669
81,81,70,48,41,615
82,82,38,57,38,80
83,83,34,50,59,697
84,84,63,51,54,296
85,85,45,44,40,85
86,86,33,48,53,552
87,87,65,57,49,672
88,88,49,41,42,446
89,89,45,40,53,88
90,90,27,37,94,516
91,91,63,93,79,116
92,92,63,78,72,332
93,93,35,45,39,645
94,94,53,49,30,542
95,95,79,89,81,332
96,96,71,57,71,496
97,97,75,73,48,393
98,98,61,65,48,148
99,99,84,83,82,692
100,100,37,68,31,689
101,101,56,63,25,683
102,102,30,34,93,721
103,103,46,57,44,691
104,104,28,70,57,133
105,105,27,45,90,586
106,106,22,26,94,383
107,107,28,64,33,68
108,108,42,68,49,150
109,109,30,52,63,126
110,110,73,70,43,631
111,111,51,55,45,319
112,112,62,54,64,8
113,113,49,51,40,4
114,114,26,33,83,680
115,115,48,74,60,180
116,116,50,67,46,362
117,117,78,78,62,307
118,118,25,44,49,565
119,119,58,49,36,698
120,120,16,33,72,145
121,121,31,57,25,723
122,122,73,63,52,183
123,123,31,62,48,124
124,124,79,69,52,259
125,125,29,70,39,21
126,126,15,25,72,210
127,127,46,42,54,510
128,128,48,56,56,54
129,129,56,64,74,66
130,130,15,22,93,633
131,131,37,37,44,469
132,132,30,57,58,624
133,133,20,50,73,39
134,134,48,67,56,77
135,135,54,66,62,441
136,136,31,49,58,301
137,137,32,51,32,179
138,138,16,43,82,628
139,139,33,42,52,497
140,140,56,36,36,328
141,141,30,66,32,278
142,142,52,44,62,441
143,143,72,71,38,53
144,144,53,51,59,465
145,145,61,59,63,124
146,146,15,34,79,284
147,147,67,81,72,724
148,148,29,25,83,292
149,149,25,28,83,299
150,150,46,55,47,233
151,151,80,54,52,521
152,152,41,60,48,723
153,153,10,50,75,609
154,154,52,62,49,357
155,155,74,57,67,499
156,156,61,55,30,113
157,157,58,50,63,455
158,158,57,73,60,567
159,159,78,65,56,24
160,160,79,51,62,503
161,161,27,60,40,184
162,162,55,67,60,208
163,163,60,69,53,561
164,164,30,51,43,537
165,165,53,50,42,88
166,166,56,59,48,407
167,167,24,58,27,250
168,168,34,67,42,424
169,169,87,88,71,125
170,170,39,67,45,634
171,171,64,72,69,709
172,172,52,66,65,409
173,173,33,40,76,199
174,174,85,78,78,106
175,175,51,51,43,430
176,176,68,94,65,25
177,177,13,39,92,509
178,178,67,90,74,302
179,179,78,61,70,709
180,180,30,43,28,378
181,181,21,27,85,255
182,182,29,44,71,478
183,183,34,44,91,340
184,184,42,51,38,58
185,185,34,51,53,569
186,186,86,84,75,574
187,187,35,38,81,256
188,188,51,64,36,637
189,189,53,48,51,670
190,190,63,82,75,306
191,191,51,55,50,80
192,192,82,90,65,668
193,193,12,44,86,75
194,194,77,73,51,221
195,195,69,52,63,352
196,196,63,80,74,419
197,197,71,86,86,460
198,198,43,41,61,300
199,199,27,41,63,337
200,200,80,79,41,593
201,201,47,44,31,250
202,202,57,56,46,647
203,203,34,40,56,706
204,204,31,50,58,257
205,205,42,30,31,562
206,206,39,69,40,239
207,207,51,50,61,316
208,208,76,60,56,637
209,209,43,52,23,421
210,210,53,55,32,393
211,211,33,48,91,130
212,212,29,40,80,470
213,213,33,39,95,674
214,214,46,45,49,524
215,215,46,60,48,107
216,216,27,42,41,25
217,217,46,69,34,122
218,218,40,56,41,567
219,219,46,61,37,514
220,220,15,31,76,172
221,221,66,79,85,178
222,222,35,65,28,370
223,223,38,45,53,385
224,224,10,46,75,638
225,225,33,49,48,202
226,226,50,50,35,524
227,227,43,69,51,59
228,228,66,64,40,144
229,229,68,60,67,707
230,230,25,58,55,105
231,231,61,45,54,32
232,232,45,48,53,43
233,233,32,61,46,499
234,234,52,66,31,626
235,235,59,56,47,375
236,236,51,60,52,308
237,237,47,50,37,532
238,238,47,46,37,719
239,239,51,45,41,448
240,240,57,42,30,6
241,241,32,40,70,387
242,242,42,54,21,202
243,243,16,39,74,719
244,244,41,57,41,115
245,245,53,41,53,262
246,246,21,45,24,144
247,247,65,66,59,207
248,248,53,42,50,659
249,249,14,41,71,160
250,250,26,32,73,585
251,251,74,58,53,184
252,252,29,49,92,71
253,253,50,66,48,465
254,254,78,76,53,414
255,255,35,63,34,431
256,256,77,61,47,375
257,257,55,46,54,201
258,258,74,91,71,548
259,259,69,72,76,348
260,260,58,68,57,660
261,261,61,48,34,458
262,262,67,46,35,199
263,263,50,52,53,644
264,264,30,50,94,127
265,265,48,52,38,350
266,266,23,28,83,187
267,267,42,30,51,720
268,268,50,55,46,277
269,269,10,24,85,68
270,270,60,33,29,641
271,271,75,44,42,689
272,272,70,71,70,390
273,273,53,57,56,542
274,274,30,60,47,592
