server_id,hostname,operating_system,environment,server_type,location,owner_team,created_date
1,WEB001,Windows Server 2019,Production,Web Server,Chennai,Linux Team,2026-07-25
2,DB001,Ubuntu 22.04,Production,Database Server,Chennai,Database Team,2026-07-25
3,FILE001,Ubuntu 22.04,Production,File Server,Hyderabad,Windows Team,2026-07-25
4,WEB002,RHEL 9,Development,Web Server,Bangalore,Linux Team,2026-07-25
5,AUTH001,RHEL 8,Development,Authentication Server,Chennai,Security Team,2026-07-25
6,FILE002,RHEL 8,Production,File Server,Mumbai,Windows Team,2026-07-25
7,WEB003,RHEL 8,Development,Web Server,Chennai,Linux Team,2026-07-25
8,FILE003,Ubuntu 22.04,UAT,File Server,Bangalore,Windows Team,2026-07-25
9,MAIL001,RHEL 8,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25
10,DB002,RHEL 8,Production,Database Server,Bangalore,Database Team,2026-07-25
11,APP001,Ubuntu 22.04,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25
12,MAIL002,Windows Server 2022,Development,Mail Server,Hyderabad,Messaging Team,2026-07-25
13,APP002,RHEL 9,Development,Application Server,Chennai,Infrastructure Team,2026-07-25
14,MAIL003,RHEL 8,Production,Mail Server,Bangalore,Messaging Team,2026-07-25
15,AUTH002,Ubuntu 22.04,Testing,Authentication Server,Pune,Security Team,2026-07-25
16,DB003,Ubuntu 22.04,Production,Database Server,Bangalore,Database Team,2026-07-25
17,API001,Ubuntu 22.04,Testing,API Server,Pune,Infrastructure Team,2026-07-25
18,APP003,Windows Server 2022,Production,Application Server,Pune,Infrastructure Team,2026-07-25
19,APP004,Ubuntu 22.04,Production,Application Server,Hyderabad,Infrastructure Team,2026-07-25
20,AUTH003,RHEL 8,Testing,Authentication Server,Mumbai,Security Team,2026-07-25
21,FILE004,Windows Server 2019,Development,File Server,Mumbai,Windows Team,2026-07-25
22,WEB004,Windows Server 2022,Testing,Web Server,Pune,Linux Team,2026-07-25
23,API002,Ubuntu 22.04,Testing,API Server,Chennai,Infrastructure Team,2026-07-25
24,MAIL004,RHEL 8,UAT,Mail Server,Hyderabad,Messaging Team,2026-07-25
25,API003,Ubuntu 22.04,UAT,API Server,Hyderabad,Infrastructure Team,2026-07-25
26,WEB005,Ubuntu 22.04,Testing,Web Server,Chennai,Linux Team,2026-07-25
27,DB004,RHEL 9,Production,Database Server,Bangalore,Database Team,2026-07-25
28,FILE005,Windows Server 2019,Testing,File Server,Pune,Windows Team,2026-07-25
29,WEB006,Ubuntu 22.04,Testing,Web Server,Pune,Linux Team,2026-07-25
30,WEB007,Windows Server 2022,Development,Web Server,Pune,Linux Team,2026-07-25
31,APP005,Windows Server 2019,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25
32,MAIL005,Ubuntu 22.04,Production,Mail Server,Pune,Messaging Team,2026-07-25
33,MAIL006,Windows Server 2019,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25
34,DB005,RHEL 9,Production,Database Server,Bangalore,Database Team,2026-07-25
35,APP006,Windows Server 2022,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25
36,FILE006,Windows Server 2019,Development,File Server,Mumbai,Windows Team,2026-07-25
37,DB006,Windows Server 2019,UAT,Database Server,Chennai,Database Team,2026-07-25
38,APP007,Windows Server 2019,Development,Application Server,Mumbai,Infrastructure Team,2026-07-25
39,DB007,RHEL 8,Development,Database Server,Mumbai,Database Team,2026-07-25
40,DB008,RHEL 9,Testing,Database Server,Bangalore,Database Team,2026-07-25
41,WEB008,Ubuntu 22.04,UAT,Web Server,Chennai,Linux Team,2026-07-25
42,MAIL007,Windows Server 2022,Development,Mail Server,Mumbai,Messaging Team,2026-07-25
43,DB009,Windows Server 2019,Development,Database Server,Bangalore,Database Team,2026-07-25
44,MAIL008,Windows Server 2022,Production,Mail Server,Bangalore,Messaging Team,2026-07-25
45,APP008,Ubuntu 22.04,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25
46,WEB009,RHEL 9,Testing,Web Server,Pune,Linux Team,2026-07-25
47,WEB010,Windows Server 2022,UAT,Web Server,Bangalore,Linux Team,2026-07-25
48,WEB011,Windows Server 2022,Testing,Web Server,Hyderabad,Linux Team,2026-07-25
49,DB010,Windows Server 2022,Development,Database Server,Bangalore,Database Team,2026-07-25
50,API004,RHEL 8,Production,API Server,Chennai,Infrastructure Team,2026-07-25
51,APP009,Ubuntu 22.04,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25
52,DB011,RHEL 9,Development,Database Server,Hyderabad,Database Team,2026-07-25
53,APP010,RHEL 9,Testing,Application Server,Mumbai,Infrastructure Team,2026-07-25
54,MAIL009,RHEL 8,Production,Mail Server,Chennai,Messaging Team,2026-07-25
55,DB012,Ubuntu 22.04,Production,Database Server,Pune,Database Team,2026-07-25
56,APP011,RHEL 9,UAT,Application Server,Chennai,Infrastructure Team,2026-07-25
57,API005,RHEL 9,UAT,API Server,Pune,Infrastructure Team,2026-07-25
58,APP012,RHEL 8,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25
59,AUTH004,RHEL 9,Development,Authentication Server,Mumbai,Security Team,2026-07-25
60,DB013,RHEL 9,Production,Database Server,Mumbai,Database Team,2026-07-25
61,AUTH005,Ubuntu 22.04,Testing,Authentication Server,Bangalore,Security Team,2026-07-25
62,WEB012,RHEL 8,Development,Web Server,Bangalore,Linux Team,2026-07-25
63,WEB013,Ubuntu 22.04,Production,Web Server,Pune,Linux Team,2026-07-25
64,FILE007,RHEL 9,Production,File Server,Chennai,Windows Team,2026-07-25
65,FILE008,Windows Server 2019,Testing,File Server,Chennai,Windows Team,2026-07-25
66,MAIL010,Ubuntu 22.04,UAT,Mail Server,Pune,Messaging Team,2026-07-25
67,APP013,RHEL 8,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25
68,WEB014,RHEL 9,Testing,Web Server,Hyderabad,Linux Team,2026-07-25
69,API006,Windows Server 2019,UAT,API Server,Pune,Infrastructure Team,2026-07-25
70,DB014,RHEL 8,Production,Database Server,Hyderabad,Database Team,2026-07-25
71,APP014,Windows Server 2022,Development,Application Server,Hyderabad,Infrastructure Team,2026-07-25
