vulnerability_id,server_id,critical_count,high_count,medium_count,low_count,risk_level,last_scan_date
1,1,1,3,9,19,Medium,2026-07-25
2,2,0,9,16,13,High,2026-07-25
3,3,1,2,6,12,Low,2026-07-25
4,4,3,5,10,9,Critical,2026-07-25
5,5,2,3,6,7,Low,2026-07-25
6,6,1,1,4,6,Low,2026-07-25
7,7,0,2,10,16,Medium,2026-07-25
8,8,0,3,5,15,Low,2026-07-25
9,9,2,1,4,10,Low,2026-07-25
10,10,1,6,14,10,High,2026-07-25
11,11,2,1,8,7,Medium,2026-07-25
12,12,2,3,2,5,Low,2026-07-25
13,13,2,1,4,17,Low,2026-07-25
14,14,2,3,3,11,Low,2026-07-25
15,15,1,2,5,12,Low,2026-07-25
16,16,4,4,6,15,Critical,2026-07-25
17,17,0,1,6,11,Low,2026-07-25
18,18,0,1,3,14,Low,2026-07-25
19,19,0,1,10,11,Medium,2026-07-25
20,20,1,1,2,8,Low,2026-07-25
21,21,1,2,8,7,Medium,2026-07-25
22,22,3,4,5,15,Critical,2026-07-25
23,23,2,5,7,7,High,2026-07-25
24,24,2,1,2,7,Low,2026-07-25
25,25,2,5,4,15,High,2026-07-25
26,26,1,4,13,13,Medium,2026-07-25
27,27,1,7,13,27,High,2026-07-25
28,28,0,2,8,15,Medium,2026-07-25
29,29,0,5,11,13,High,2026-07-25
30,30,3,4,10,11,Critical,2026-07-25
31,31,0,2,6,13,Low,2026-07-25
32,32,2,1,2,13,Low,2026-07-25
33,33,2,2,2,8,Low,2026-07-25
34,34,2,5,8,28,High,2026-07-25
35,35,1,4,9,8,Medium,2026-07-25
36,36,1,1,4,15,Low,2026-07-25
37,37,3,5,8,28,Critical,2026-07-25
38,38,0,3,4,17,Low,2026-07-25
39,39,3,6,14,23,Critical,2026-07-25
40,40,5,6,10,13,Critical,2026-07-25
41,41,0,5,7,19,High,2026-07-25
42,42,2,4,3,6,Low,2026-07-25
43,43,4,4,5,12,Critical,2026-07-25
44,44,2,1,8,10,Medium,2026-07-25
45,45,0,5,5,9,High,2026-07-25
46,46,1,4,13,5,Medium,2026-07-25
47,47,3,4,7,18,Critical,2026-07-25
48,48,2,3,6,6,Low,2026-07-25
49,49,3,5,7,26,Critical,2026-07-25
50,50,1,4,10,9,Medium,2026-07-25
51,51,0,3,4,8,Low,2026-07-25
52,52,1,6,9,10,High,2026-07-25
53,53,2,3,5,6,Low,2026-07-25
54,54,1,4,5,15,Low,2026-07-25
55,55,1,9,14,29,High,2026-07-25
56,56,2,2,3,13,Low,2026-07-25
57,57,0,2,7,13,Low,2026-07-25
58,58,0,5,4,8,High,2026-07-25
59,59,2,4,2,11,Low,2026-07-25
60,60,1,7,18,19,High,2026-07-25
61,61,1,2,4,5,Low,2026-07-25
62,62,3,4,7,18,Critical,2026-07-25
63,63,3,3,11,18,Critical,2026-07-25
64,64,0,1,8,11,Medium,2026-07-25
65,65,1,3,4,12,Low,2026-07-25
66,66,2,2,7,13,Low,2026-07-25
67,67,0,1,5,15,Low,2026-07-25
68,68,3,1,5,14,Critical,2026-07-25
69,69,0,2,8,10,Medium,2026-07-25
70,70,1,4,20,26,Medium,2026-07-25
71,71,0,1,8,9,Medium,2026-07-25
72,72,1,4,9,11,Medium,2026-07-25
73,73,0,3,7,9,Low,2026-07-25
74,74,0,2,7,6,Low,2026-07-25
75,75,1,2,8,13,Medium,2026-07-25
76,76,1,4,5,12,Low,2026-07-25
77,77,1,3,3,13,Low,2026-07-25
78,78,2,1,10,10,Medium,2026-07-25
79,79,1,5,7,5,High,2026-07-25
80,80,0,6,12,15,High,2026-07-25
81,81,1,5,9,9,High,2026-07-25
82,82,2,3,7,10,Low,2026-07-25
83,83,1,2,6,9,Low,2026-07-25
84,84,1,3,10,14,Medium,2026-07-25
85,85,2,4,7,4,Low,2026-07-25
86,86,1,2,2,11,Low,2026-07-25
87,87,2,5,7,17,High,2026-07-25
88,88,0,3,4,15,Low,2026-07-25
89,89,2,2,7,5,Low,2026-07-25
90,90,0,3,5,14,Low,2026-07-25
91,91,5,7,5,20,Critical,2026-07-25
92,92,1,4,6,10,Low,2026-07-25
93,93,0,4,8,10,Medium,2026-07-25
94,94,2,3,3,5,Low,2026-07-25
95,95,1,6,10,23,High,2026-07-25
96,96,0,5,4,13,High,2026-07-25
97,97,0,4,6,13,Low,2026-07-25
98,98,1,1,5,13,Low,2026-07-25
99,99,5,3,19,14,Critical,2026-07-25
100,100,0,4,6,4,Low,2026-07-25
101,101,2,1,6,12,Low,2026-07-25
102,102,1,2,2,14,Low,2026-07-25
